Wall time,Step,Value
1679401110,0,0.14923878
1679401933,50,0.866686702
1679402757,100,0.895432711
1679403581,150,0.889823735
1679404405,200,0.925380588
1679405229,250,0.92417866
1679406053,300,0.919371009
1679406877,350,0.919771612
1679407701,400,0.926983178
1679408525,450,0.91796875
1679409352,500,0.928285241
1679410176,550,0.92738384
1679411000,600,0.917167485
1679411824,650,0.923377395
1679412648,700,0.925580919
1679413473,750,0.919771612
1679414297,800,0.910757184
1679415427,850,0.915865362
1679416856,900,0.921674669
1679418321,950,0.929186702
1679419765,1000,0.906350136
1679421218,1050,0.929587364
1679422668,1100,0.928285241
1679424116,1150,0.898838162
1679425560,1200,0.921574533
1679427013,1250,0.913762033
1679428459,1300,0.910757184
1679429917,1350,0.923778057
1679431374,1400,0.919070542
1679432826,1450,0.927283645
1679434276,1500,0.912960708
1679435732,1550,0.931690693
1679437190,1600,0.931891024
1679438640,1650,0.933393419
1679440100,1700,0.916065693
1679441561,1750,0.930488765
1679443028,1800,0.929787636
1679444479,1850,0.928285241
1679445932,1900,0.930488765
1679447394,1950,0.929787636
1679448858,2000,0.928285241
1679450321,2050,0.930488765
1679451774,2100,0.929787636
1679453228,2150,0.93048877
1679454692,2200,0.92978764
1679456148,2250,0.92828524
1679457597,2300,0.92883042
1679459045,2350,0.93048877
1679460496,2400,0.92978764
1679461941,2450,0.92828524
1679463218,2500,0.92883042
1679464042,2550,0.929787636
1679464865,2600,0.929285241
1679465687,2650,0.92983042
1679466510,2700,0.93048877
1679467334,2750,0.929787636
1679468157,2800,0.929285241
1679468981,2850,0.92983042
1679469821,2900,0.93048877
1679470669,2950,0.929787636
1679471517,3000,0.929285241
1679472364,3050,0.92983042
1679473212,3100,0.93048877
1679474060,3150,0.93048877
,3200,0.92978764
,3250,0.92928524
,3300,0.92983042
,3350,0.93048877
,3400,0.92978764
,3450,0.92928524
,3500,0.92983042
,3550,0.93048877
,3600,0.92978764
,3650,0.92928524
,3700,0.92983042
,3750,0.93048877
,3800,0.92978764
,3850,0.92928524
,3900,0.92983042
,3950,0.93048877
,4000,0.92978764
,4050,0.92928524
,4100,0.92983042
,4150,0.93048877
,4200,0.92978764
,4250,0.92928524
,4300,0.92983042
,4350,0.93048877
,4400,0.92978764
,4450,0.92928524
,4500,0.92983042
,4550,0.93048877
,4600,0.92978764
,4650,0.92928524
,4700,0.92983042
,4750,0.93048877
,4800,0.93048877
,4850,0.92978764
,4900,0.92928524
,4950,0.92983042
,5000,0.93048877
,5050,0.92978764
,5100,0.92928524
,5150,0.92983042
,5200,0.93048877
,5250,0.92988304
,5300,0.93048877
,5350,0.92978764
,5400,0.92928524
,5450,0.92983042
,5500,0.93048877
,5550,0.92978764
,5600,0.92928524
,5650,0.92983042
,5700,0.93048877
,5750,0.92883042
,5800,0.93048877
,5850,0.92978764
,5900,0.92828524
,5950,0.92983042
