Wall time,Step,Value
1679464632,0,0.138120994
1679464819,50,0.741887033
1679465100,100,0.856670678
1679465380,150,0.893128991
1679465658,200,0.903044879
1679465939,250,0.916266024
1679466206,300,0.913762033
1679466480,350,0.92027241
1679466755,400,0.915564895
1679467027,450,0.913962364
1679467305,500,0.918870211
1679467572,550,0.919070542
1679467836,600,0.922175467
1679468101,650,0.920172274
1679468375,700,0.917568088
1679468653,750,0.914563298
1679468940,800,0.91175884
1679469220,850,0.921073735
1679469493,900,0.925580919
1679469773,950,0.923076928
1679470052,1000,0.918169081
1679470333,1050,0.916666687
1679470608,1100,0.915564895
1679470892,1150,0.923878193
1679471177,1200,0.921274066
1679471468,1250,0.92347759
1679471745,1300,0.918469548
1679472028,1350,0.922576129
1679472305,1400,0.924979985
1679472590,1450,0.915965557
1679472864,1500,0.921975136
1679473155,1550,0.923177063
1679473436,1600,0.921975136
1679473724,1650,0.927584112
1679474018,1700,0.922075331
1679474304,1750,0.921173871
1679474577,1800,0.922676265
1679474852,1850,0.924779654
1679475141,1900,0.921374202
1679475429,1950,0.921674669
1679475711,2000,0.923584112
1679475984,2050,0.924075331
1679476279,2100,0.924173871
1679476559,2150,0.92376265
1679476829,2200,0.923779654
1679477116,2250,0.92413742
1679477401,2300,0.923674669
1679477681,2350,0.924016749
1679477967,2400,0.923377395
1679478242,2450,0.923584112
1679478512,2500,0.924075331
1679478786,2550,0.923584112
1679479072,2600,0.924075331
1679479352,2650,0.924173871
1679479621,2700,0.92376265
1679479908,2750,0.923779654
1679480191,2800,0.92413742
1679480463,2850,0.923674669
1679480739,2900,0.924016749
1679481014,2950,0.923377395
1679481281,3000,0.923584112
1679481547,3050,0.924075331
1679481815,3100,0.923584112
1679482091,3150,0.924075331
1679482369,3200,0.924173871
1679482644,3250,0.92376265
1679482921,3300,0.923779654
1679483194,3350,0.92413742
1679483464,3400,0.923674669
1679483733,3450,0.924016749
1679484011,3500,0.923377395
1679484299,3550,0.923584112
1679484571,3600,0.924075331
1679484856,3650,0.923584112
1679485139,3700,0.924075331
,3750,0.924173871
,3800,0.92376265
,3850,0.923779654
,3900,0.92413742
,3950,0.923674669
,4000,0.924016749
,4050,0.923377395
,4100,0.923584112
,4150,0.924075331
,4200,0.923584112
,4250,0.924075331
,4300,0.924173871
,4350,0.92376265
,4400,0.923779654
,4450,0.92413742
,4500,0.923674669
,4550,0.924016749
,4600,0.923377395
,4650,0.923584112
,4700,0.924075331
,4750,0.923584112
,4800,0.924075331
,4850,0.924173871
,4900,0.92376265
,4950,0.923779654
,5000,0.92413742
,5050,0.923674669
,5100,0.924016749
,5150,0.923377395
,5200,0.923584112
,5250,0.924075331
,5300,0.923584112
,5350,0.924075331
,5400,0.924173871
,5450,0.92376265
,5500,0.923779654
,5550,0.92413742
,5600,0.923674669
,5650,0.924016749
,5700,0.923377395
,5750,0.923584112
,5800,0.924075331
,5850,0.923584112
,5900,0.924075331
,5950,0.924173871
