Wall time,Step,Value
1679464909,0,0.130568907
1679465182,50,0.742688298
1679465678,100,0.875380635
1679466156,150,0.920052111
1679466628,200,0.946294069
1679467124,250,0.966246009
1679467597,300,0.974318922
1679468075,350,0.984975934
1679468543,400,0.992648244
1679469020,450,0.987479985
1679469500,500,0.998056889
1679469997,550,0.997896612
1679470487,600,0.998697937
1679471003,650,0.999118567
1679471507,700,0.998758018
1679471988,750,0.998998404
1679472465,800,0.997395813
1679472968,850,0.999519229
1679473444,900,0.999238789
1679473920,950,0.99853766
1679474390,1000,0.999178708
1679474872,1050,0.997496009
1679475347,1100,0.998938322
1679475840,1150,0.999298871
1679476318,1200,0.999118567
1679476804,1250,0.998798072
1679477325,1300,0.998778045
1679477804,1350,0.999338925
1679478296,1400,0.998337328
1679478770,1450,0.998798072
1679479272,1500,0.999539256
1679479750,1550,0.999358952
1679480229,1600,0.999218762
1679480713,1650,0.999619365
1679481186,1700,0.999479175
1679481685,1750,0.998597741
1679482166,1800,0.999118567
1679482663,1850,0.997676253
1679483160,1900,0.999479175
1679483632,1950,0.999399066
1679484130,2000,0.999399066
1679484649,2050,0.998998404
1679485131,2100,0.999639452
1679485639,2150,0.998157024
1679486119,2200,0.999238789
1679486597,2250,0.999138594
1679487066,2300,0.997576118
1679487545,2350,0.999459147
,2400,1
,2450,1
,2500,1
,2550,1
,2600,1
,2650,1
,2700,1
,2750,1
,2800,1
,2850,1
,2900,1
,2950,1
,3000,1
,3050,1
,3100,1
,3150,1
,3200,1
,3250,1
,3300,1
,3350,1
,3400,1
,3450,1
,3500,1
,3550,1
,3600,1
,3650,1
,3700,1
,3750,1
,3800,1
,3850,1
,3900,1
,3950,1
,4000,1
,4050,1
,4100,1
,4150,1
,4200,1
,4250,1
,4300,1
,4350,1
,4400,1
,4450,1
,4500,1
,4550,1
,4600,1
,4650,1
,4700,1
,4750,1
,4800,1
,4850,1
,4900,1
,4950,1
,5000,1
,5050,1
,5100,1
,5150,1
,5200,1
,5250,1
,5300,1
,5350,1
,5400,1
,5450,1
,5500,1
,5550,1
,5600,1
,5650,1
,5700,1
,5750,1
,5800,1
,5850,1
,5900,1
,5950,1
