Wall time,Step,Value
1679401059,0,0.139262825
1679401874,50,0.87443912
1679402701,100,0.943229139
1679403526,150,0.942748368
1679404350,200,0.975240409
1679405174,250,0.989643455
1679405997,300,0.988301277
1679406821,350,0.99260819
1679407646,400,0.990625024
1679408470,450,0.994110584
1679409293,500,0.991686702
1679410117,550,0.996354163
1679410941,600,0.991085708
1679411765,650,0.995913446
1679412590,700,0.998237193
1679413414,750,0.996073723
1679414239,800,0.99567306
1679415272,850,0.997536063
1679416699,900,0.998297274
1679418151,950,0.998557687
1679419600,1000,0.999599338
1679421065,1050,0.999679506
1679422515,1100,0.999739587
1679423967,1150,0.99783653
1679425418,1200,0.997856557
1679426868,1250,0.997496009
1679428313,1300,0.999338925
1679429772,1350,0.998517632
1679431227,1400,0.998697937
1679432673,1450,0.999599338
1679434124,1500,0.999599338
1679435585,1550,0.999058485
1679437044,1600,0.999679506
1679438502,1650,0.997916639
1679439960,1700,0.999519229
1679441420,1750,0.99811697
1679442885,1800,0.999779642
1679444333,1850,0.999799669
1679445789,1900,0.999238789
1679447254,1950,0.996554494
1679448720,2000,0.999178708
1679450184,2050,0.999659479
1679451641,2100,0.999178708
1679453091,2150,0.998958349
1679454554,2200,0.997195542
1679456018,2250,0.998938322
1679457465,2300,0.999198735
1679458918,2350,0.995793283
1679460371,2400,0.999238789
1679461820,2450,1
1679463180,2500,1
1679464004,2550,1
1679464827,2600,1
1679465651,2650,1
1679466475,2700,1
1679467299,2750,1
1679468123,2800,1
1679468946,2850,1
1679469787,2900,1
1679470635,2950,1
1679471483,3000,1
1679472330,3050,1
1679473179,3100,1
1679474026,3150,1
1679474873,3200,1
1679475721,3250,1
1679476568,3300,1
1679477416,3350,1
1679478264,3400,1
1679479112,3450,1
1679479960,3500,1
1679480808,3550,1
1679481656,3600,1
1679482503,3650,1
1679483351,3700,1
1679484200,3750,1
1679485047,3800,1
1679485895,3850,1
1679486742,3900,1
1679487590,3950,1
,4000,1
,4050,1
,4100,1
,4150,1
,4200,1
,4250,1
,4300,1
,4350,1
,4400,1
,4450,1
,4500,1
,4550,1
,4600,1
,4650,1
,4700,1
,4750,1
,4800,1
,4850,1
,4900,1
,4950,1
,5000,1
,5050,1
,5100,1
,5150,1
,5200,1
,5250,1
,5300,1
,5350,1
,5400,1
,5450,1
,5500,1
,5550,1
,5600,1
,5650,1
,5700,1
,5750,1
,5800,1
,5850,1
,5900,1
,5950,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
