Wall time,Step,Value
1679464632,0,0.136518434
1679464819,50,0.749819696
1679465100,100,0.877323747
1679465380,150,0.92271632
1679465658,200,0.94517225
1679465939,250,0.967367768
1679466206,300,0.976642609
1679466480,350,0.987940729
1679466755,400,0.99274838
1679467027,450,0.994290888
1679467305,500,0.997355759
1679467572,550,0.99797678
1679467836,600,0.998858154
1679468101,650,0.999238789
1679468375,700,0.998998404
1679468653,750,0.997536063
1679468940,800,0.996254027
1679469220,850,0.999078512
1679469493,900,0.999419093
1679469773,950,0.998517632
1679470052,1000,0.998737991
1679470333,1050,0.99797678
1679470608,1100,0.997175455
1679470892,1150,0.998677909
1679471177,1200,0.998697937
1679471468,1250,0.999038458
1679471745,1300,0.998878181
1679472028,1350,0.998758018
1679472305,1400,0.999318898
1679472590,1450,0.996133804
1679472864,1500,0.999138594
1679473155,1550,0.999178708
1679473436,1600,0.998157024
1679473724,1650,0.999358952
1679474018,1700,0.999118567
1679474304,1750,0.998938322
1679474577,1800,0.999018431
1679474852,1850,0.99853766
1679475141,1900,0.998798072
1679475429,1950,0.999218762
1679475711,2000,0.996794879
1679475984,2050,0.998858154
1679476279,2100,0.998998404
1679476559,2150,0.998958349
1679476829,2200,0.999058485
1679477116,2250,0.998637795
1679477401,2300,0.999278843
1679477681,2350,0.999198735
1679477967,2400,0.999539256
1679478242,2450,0.999959946
1679478512,2500,1
1679478786,2550,1
1679479072,2600,1
1679479352,2650,1
1679479621,2700,1
1679479908,2750,1
1679480191,2800,1
1679480463,2850,1
1679480739,2900,1
1679481014,2950,1
1679481281,3000,1
1679481547,3050,1
1679481815,3100,1
1679482091,3150,1
1679482369,3200,1
1679482644,3250,1
1679482921,3300,1
1679483194,3350,1
1679483464,3400,1
1679483733,3450,1
1679484011,3500,1
1679484299,3550,1
1679484571,3600,1
1679484856,3650,1
1679485139,3700,1
1679485427,3750,1
1679485719,3800,1
1679485987,3850,1
1679486255,3900,1
1679486518,3950,1
1679486780,4000,1
1679487041,4050,1
1679487318,4100,1
1679487613,4150,1
,4200,1
,4250,1
,4300,1
,4350,1
,4400,1
,4450,1
,4500,1
,4550,1
,4600,1
,4650,1
,4700,1
,4750,1
,4800,1
,4850,1
,4900,1
,4950,1
,5000,1
,5050,1
,5100,1
,5150,1
,5200,1
,5250,1
,5300,1
,5350,1
,5400,1
,5450,1
,5500,1
,5550,1
,5600,1
,5650,1
,5700,1
,5750,1
,5800,1
,5850,1
,5900,1
,5950,1
