Wall time,Step,Value
1678845569.104084,0,0.1308293342590332
1678845978.3283372,50,0.13649839162826538
1678846388.0145147,100,0.16292066872119904
1678846802.3356495,150,0.24537259340286255
1678847211.5063324,200,0.2332131415605545
1678847618.9058013,250,0.49701523780822754
1678848026.936214,300,0.6039263010025024
1678848434.2890394,350,0.7765424847602844
1678848840.523344,400,0.8959335088729858
1678849247.7553973,450,0.9812700152397156
1678849654.1890042,500,0.9972155690193176
1678850061.613364,550,1.0
1678850469.20939,600,1.0
1678850877.6309764,650,1.0
1678851284.5766807,700,1.0
1678851691.1636693,750,1.0
1678852097.2774894,800,1.0
1678852504.5621727,850,1.0
1678852911.29754,900,1.0
1678853317.586165,950,1.0
1678853723.5537808,1000,1.0
1678854131.258501,1050,1.0
1678854538.9429398,1100,1.0
1678854946.3095853,1150,1.0
1678855353.554904,1200,1.0
1678855761.5504925,1250,1.0
1678856168.991397,1300,1.0
1678856577.3996453,1350,1.0
1678856985.7067125,1400,1.0
1678857393.4796822,1450,1.0
1678857802.126858,1500,1.0
1678858210.903956,1550,1.0
1678858618.4577668,1600,1.0
1678859027.5209856,1650,1.0
1678859433.9257421,1700,1.0
1678859841.9184802,1750,1.0
1678860249.0041332,1800,1.0
1678860657.091872,1850,1.0
1678861066.032668,1900,1.0
1678861482.7861512,1950,1.0
1678861889.6265516,2000,1.0
1678862297.4830177,2050,1.0
1678862705.5731122,2100,1.0
1678863115.052983,2150,1.0
1678863522.642854,2200,1.0
1678863929.623117,2250,1.0
1678864337.9278007,2300,1.0
1678864746.0631206,2350,1.0
1678865154.9395285,2400,1.0
1678865563.9709806,2450,1.0
1678865972.9725811,2500,1.0
1678866381.5747745,2550,1.0
1678866789.785934,2600,1.0
1678867198.9799516,2650,1.0
1678867608.932066,2700,1.0
1678868018.3448374,2750,1.0
1678868428.5355759,2800,1.0
1678868838.0073383,2850,1.0
1678869247.176907,2900,1.0
1678869657.2656682,2950,1.0
1678870066.930216,3000,1.0
1678870476.2619915,3050,1.0
1678870885.1012127,3100,1.0
1678871293.767783,3150,1.0
1678871702.5050035,3200,1.0
1678872111.99349,3250,1.0
1678872520.9938338,3300,1.0
1678872932.0433137,3350,1.0
1678873340.762255,3400,1.0
1678873750.0333552,3450,1.0
1678874157.974611,3500,1.0
1678874564.855174,3550,1.0
1678874973.0844092,3600,1.0
1678875381.7877643,3650,1.0
1678875788.3747528,3700,1.0
1678876193.72104,3750,1.0
1678876602.0576189,3800,1.0
1678877009.4084606,3850,1.0
1678877417.2708945,3900,1.0
1678877825.0040364,3950,1.0
1678878231.9260318,4000,1.0
1678878639.3486152,4050,1.0
1678879048.341884,4100,1.0
1678879456.842219,4150,1.0
1678879864.0223293,4200,1.0
1678880272.6307323,4250,1.0
1678880678.9319491,4300,1.0
1678881085.434926,4350,1.0
1678881494.2028337,4400,1.0
1678881901.7239301,4450,1.0
1678882308.5025108,4500,1.0
1678882740.1504934,4550,1.0
1678883156.19301,4600,1.0
1678883562.5191276,4650,1.0
1678883998.8100681,4700,1.0
1678884414.066631,4750,1.0
1678884818.9178917,4800,1.0
1678885227.0303485,4850,1.0
1678885673.066995,4900,1.0
1678886080.2671087,4950,1.0
1678886487.0652921,5000,1.0
1678886894.9166503,5050,1.0
1678887337.6353405,5100,1.0
1678887746.935534,5150,1.0
1678888153.376119,5200,1.0
1678888559.4052038,5250,1.0
1678888966.2416716,5300,1.0
1678889372.612233,5350,1.0
1678889780.031758,5400,1.0
1678890186.980244,5450,1.0
1678890593.9685707,5500,1.0
1678891000.2151263,5550,1.0
1678891407.728283,5600,1.0
1678891825.021416,5650,1.0
1678892243.4219468,5700,1.0
1678892661.8738227,5750,1.0
1678893080.006149,5800,1.0
1678893499.3753476,5850,1.0
1678893915.563541,5900,1.0
1678894332.3309538,5950,1.0
