Wall time,Step,Value
1679465003,0,0.1328125
1679465503,50,0.804587364
1679465973,100,0.898137033
1679466445,150,0.893329322
1679466919,200,0.913261235
1679467406,250,0.905248404
1679467869,300,0.920172274
1679468338,350,0.927183509
1679468809,400,0.924278855
1679469280,450,0.912660241
1679469766,500,0.924779654
1679470237,550,0.928886235
1679470713,600,0.923177063
1679471194,650,0.927584112
1679471692,700,0.929086566
1679472169,750,0.929587364
1679472637,800,0.923577726
1679473137,850,0.924278855
1679473598,900,0.929086566
1679474066,950,0.928685904
1679474541,1000,0.933794081
1679475017,1050,0.928986371
1679475489,1100,0.932091355
1679475968,1150,0.927684307
1679476438,1200,0.929086566
1679476920,1250,0.927283645
1679477431,1300,0.923677862
1679477907,1350,0.931590557
1679478386,1400,0.931089759
1679478860,1450,0.918770015
1679479358,1500,0.926682711
1679479837,1550,0.923677862
1679480314,1600,0.930588961
1679480804,1650,0.928585708
1679481288,1700,0.933393419
1679481773,1750,0.935396612
1679482250,1800,0.934390226
1679482753,1850,0.933690693
1679483244,1900,0.934186702
1679483710,1950,0.934387033
1679484202,2000,0.934883042
1679484709,2050,0.933293283
1679485187,2100,0.934395015
,2150,0.933393419
,2200,0.935396612
,2250,0.934390226
,2300,0.933690693
,2350,0.934186702
,2400,0.934387033
,2450,0.934883042
,2500,0.933293283
,2550,0.934395015
,2600,0.933393419
,2650,0.935396612
,2700,0.934390226
,2750,0.933690693
,2800,0.934186702
,2850,0.934387033
,2900,0.934883042
,2950,0.933293283
,3000,0.934395015
,3050,0.933393419
,3100,0.935396612
,3150,0.934390226
,3200,0.933690693
,3250,0.934186702
,3300,0.934387033
,3350,0.934883042
,3400,0.933293283
,3450,0.934395015
,3500,0.933393419
,3550,0.935396612
,3600,0.934390226
,3650,0.933690693
,3700,0.934186702
,3750,0.934387033
,3800,0.934883042
,3850,0.933293283
,3900,0.934395015
,3950,0.933393419
,4000,0.935396612
,4050,0.934390226
,4100,0.933690693
,4150,0.934186702
,4200,0.934387033
,4250,0.934883042
,4300,0.933293283
,4350,0.934395015
,4400,0.933393419
,4450,0.935396612
,4500,0.934390226
,4550,0.933690693
,4600,0.934186702
,4650,0.934387033
,4700,0.934883042
,4750,0.933293283
,4800,0.934395015
,4850,0.93339342
,4900,0.93539661
,4950,0.93439023
,5000,0.93369069
,5050,0.9341867
,5100,0.93438703
,5150,0.93488304
,5200,0.93329328
,5250,0.93439502
,5300,0.93339342
,5350,0.93539661
,5400,0.93439023
,5450,0.93369069
,5500,0.9341867
,5550,0.93438703
,5600,0.93488304
,5650,0.93329328
,5700,0.93439502
,5750,0.934439342
,5800,0.93499661
,5850,0.93439023
,5900,0.93438703
,5950,0.935088304
,,
,,
,,
,,
